"State";"Account Length";"Phone";"Int'l Plan";"VMail Plan";"Day Mins";"Area Code";"VMail Message";"Day Calls";"Day Charge";"Eve Mins";"Eve Calls";"Eve Charge";"Night Mins";"Night Calls";"Night Charge";"Intl Mins";"Intl Calls";"Intl Charge";"CustServ Calls";"Churn?"
"KS";;"382-4657";"no";"yes";;415.0;25.0;110.0;45.07;197.4;99.0;16.78;244.7;91.0;11.01;10.0;3.0;2.7;1.0;"False."
"OH";;"371-7191";"no";"yes";"161.600000";415.0;26.0;123.0;27.47;195.5;103.0;16.62;254.4;103.0;11.45;13.7;3.0;3.7;1.0;"False."
"NJ";"137";;"no";"no";"243.400000";415.0;0.0;114.0;41.38;121.2;110.0;10.3;162.6;104.0;7.32;12.2;5.0;3.29;0.0;"False."
"OH";;"375-9999";"yes";"no";"299.400000";408.0;0.0;71.0;50.9;61.9;88.0;5.26;196.9;89.0;8.86;6.6;7.0;1.78;2.0;"False."
"OK";"75";"330-6626";"yes";"no";"166.700000";415.0;0.0;113.0;28.34;148.3;122.0;12.61;186.9;121.0;8.41;10.1;3.0;2.73;3.0;"False."
"AL";"118";"391-8027";"yes";"no";"223.400000";510.0;0.0;98.0;37.98;220.6;101.0;18.75;203.9;118.0;9.18;6.3;6.0;1.7;0.0;"False."
"MA";"121";"355-9993";"no";"yes";"218.200000";510.0;24.0;88.0;37.09;348.5;108.0;29.62;212.6;118.0;9.57;7.5;7.0;2.03;3.0;"False."
"MO";"147";"329-9001";"yes";"no";"157.000000";415.0;0.0;79.0;26.69;103.1;94.0;8.76;211.8;96.0;9.53;7.1;6.0;1.92;0.0;"False."
"LA";"117";"335-4719";"no";"no";"184.500000";408.0;0.0;97.0;31.37;351.6;80.0;29.89;215.8;90.0;9.71;8.7;4.0;2.35;1.0;"False."
"WV";"141";"330-8173";"yes";"yes";"258.600000";415.0;37.0;84.0;43.96;222.0;111.0;18.87;326.4;97.0;14.69;11.2;5.0;3.02;0.0;"False."
"IN";"65";"329-6603";"no";"no";"129.100000";415.0;0.0;137.0;21.95;228.5;83.0;19.42;208.8;111.0;9.4;12.7;6.0;3.43;4.0;"True."
"RI";"74";"344-9403";"no";"no";"187.700000";415.0;0.0;127.0;31.91;163.4;148.0;13.89;196.0;94.0;8.82;9.1;5.0;2.46;0.0;"False."
"IA";"168";"363-1107";"no";"no";"128.800000";408.0;0.0;96.0;21.9;104.9;71.0;8.92;141.1;128.0;6.35;11.2;2.0;3.02;1.0;"False."
"MT";"95";"394-8006";"no";"no";"156.600000";510.0;0.0;88.0;26.62;247.6;75.0;21.05;192.3;115.0;8.65;12.3;5.0;3.32;3.0;"False."
"IA";"62";"366-9238";"no";"no";"120.700000";415.0;0.0;70.0;20.52;307.2;76.0;26.11;203.0;99.0;9.14;13.1;6.0;3.54;4.0;"False."
"NY";"161";"351-7269";"no";"no";"332.900000";415.0;0.0;67.0;56.59;317.8;97.0;27.01;160.6;128.0;7.23;5.4;9.0;1.46;4.0;"True."
"ID";"85";"350-8884";"no";"yes";"196.400000";408.0;27.0;139.0;33.39;280.9;90.0;23.88;89.3;75.0;4.02;13.8;4.0;3.73;1.0;"False."
"VT";"93";"386-2923";"no";"no";"190.700000";510.0;0.0;114.0;32.42;218.2;111.0;18.55;129.6;121.0;5.83;8.1;3.0;2.19;3.0;"False."
"VA";"76";"356-2992";"no";"yes";"189.700000";510.0;33.0;66.0;32.25;212.8;65.0;18.09;165.7;108.0;7.46;10.0;5.0;2.7;1.0;"False."
"TX";"73";"373-2782";"no";"no";"224.400000";415.0;0.0;90.0;38.15;159.5;88.0;13.56;192.8;74.0;8.68;13.0;2.0;3.51;1.0;"False."
"FL";"147";"396-5800";"no";"no";"155.100000";415.0;0.0;117.0;26.37;239.7;93.0;20.37;208.8;133.0;9.4;10.6;4.0;2.86;0.0;"False."
"CO";"77";"393-7984";"no";"no";"62.400000";408.0;0.0;89.0;10.61;169.9;121.0;14.44;209.6;64.0;9.43;5.7;6.0;1.54;5.0;"True."
"AZ";"130";"358-1958";"no";"no";"183.000000";415.0;0.0;112.0;31.11;72.9;99.0;6.2;181.8;78.0;8.18;9.5;19.0;2.57;0.0;"False."
"SC";"111";"350-2565";"no";"no";"110.400000";415.0;0.0;103.0;18.77;137.3;102.0;11.67;189.6;105.0;8.53;7.7;6.0;2.08;2.0;"False."
"VA";"132";"343-4696";"no";"no";"81.100000";510.0;0.0;86.0;13.79;245.2;72.0;20.84;237.0;115.0;10.67;10.3;2.0;2.78;0.0;"False."
"NE";"174";"331-3698";"no";"no";"124.300000";415.0;0.0;76.0;21.13;277.1;112.0;23.55;250.7;115.0;11.28;15.5;5.0;4.19;3.0;"False."
"WY";"57";"357-3817";"no";"yes";"213.000000";408.0;39.0;115.0;36.21;191.1;112.0;16.24;182.7;115.0;8.22;9.5;3.0;2.57;0.0;"False."
"MT";"54";"418-6412";"no";"no";"134.300000";408.0;0.0;73.0;22.83;155.5;100.0;13.22;102.1;68.0;4.59;14.7;4.0;3.97;3.0;"False."
"MO";"20";"353-2630";"no";"no";"190.000000";415.0;0.0;109.0;32.3;258.2;84.0;21.95;181.5;102.0;8.17;6.3;6.0;1.7;0.0;"False."
"HI";"49";"410-7789";"no";"no";"119.300000";510.0;0.0;117.0;20.28;215.1;109.0;18.28;178.7;90.0;8.04;11.1;1.0;3.0;1.0;"False."
"IL";"142";"416-8428";"no";"no";"84.800000";415.0;0.0;95.0;14.42;136.7;63.0;11.62;250.5;148.0;11.27;14.2;6.0;3.83;2.0;"False."
"NH";"75";"370-3359";"no";"no";"226.100000";510.0;0.0;105.0;38.44;201.5;107.0;17.13;246.2;98.0;11.08;10.3;5.0;2.78;1.0;"False."
"LA";"172";"383-1121";"no";"no";"212.000000";408.0;0.0;121.0;36.04;31.2;115.0;2.65;293.3;78.0;13.2;12.6;10.0;3.4;3.0;"False."
"AZ";"12";"360-1596";"no";"no";"249.600000";408.0;0.0;118.0;42.43;252.4;119.0;21.45;280.2;90.0;12.61;11.8;3.0;3.19;1.0;"True."
"OK";"57";"395-2854";"no";"yes";"176.800000";408.0;25.0;94.0;30.06;195.0;75.0;16.58;213.5;116.0;9.61;8.3;4.0;2.24;0.0;"False."
"GA";"72";"362-1407";"no";"yes";"220.000000";415.0;37.0;80.0;37.4;217.3;102.0;18.47;152.8;71.0;6.88;14.7;6.0;3.97;3.0;"False."
"AK";"36";"341-9764";"no";"yes";"146.300000";408.0;30.0;128.0;24.87;162.5;80.0;13.81;129.3;109.0;5.82;14.5;6.0;3.92;0.0;"False."
"MA";"78";"353-3305";"no";"no";"130.800000";415.0;0.0;64.0;22.24;223.7;116.0;19.01;227.8;108.0;10.25;10.0;5.0;2.7;1.0;"False."
"AK";"136";"402-1381";"yes";"yes";"203.900000";415.0;33.0;106.0;34.66;187.6;99.0;15.95;101.7;107.0;4.58;10.5;6.0;2.84;3.0;"False."
"NJ";"149";"332-9891";"no";"no";"140.400000";408.0;0.0;94.0;23.87;271.8;92.0;23.1;188.3;108.0;8.47;11.1;9.0;3.0;1.0;"False."
"GA";"98";"372-9976";"no";"no";"126.300000";408.0;0.0;102.0;21.47;166.8;85.0;14.18;187.8;135.0;8.45;9.4;2.0;2.54;3.0;"False."
"MD";"135";"383-6029";"yes";"yes";"173.100000";408.0;41.0;85.0;29.43;203.9;107.0;17.33;122.2;78.0;5.5;14.6;15.0;3.94;0.0;"True."
"AR";"34";"353-7289";"no";"no";"124.800000";510.0;0.0;82.0;21.22;282.2;98.0;23.99;311.5;78.0;14.02;10.0;4.0;2.7;2.0;"False."
"ID";"160";"390-7274";"no";"no";"85.800000";415.0;0.0;77.0;14.59;165.3;110.0;14.05;178.5;92.0;8.03;9.2;4.0;2.48;3.0;"False."
"WI";"64";"352-1237";"no";"no";"154.000000";510.0;0.0;67.0;26.18;225.8;118.0;19.19;265.3;86.0;11.94;3.5;3.0;0.95;1.0;"False."
"OR";"59";"353-3061";"no";"yes";"120.900000";408.0;28.0;97.0;20.55;213.0;92.0;18.11;163.1;116.0;7.34;8.5;5.0;2.3;2.0;"False."
"MI";"65";"363-5450";"no";"no";"211.300000";415.0;0.0;120.0;35.92;162.6;122.0;13.82;134.7;118.0;6.06;13.2;5.0;3.56;3.0;"False."
"DE";"142";"364-1995";"no";"no";"187.000000";408.0;0.0;133.0;31.79;134.6;74.0;11.44;242.2;127.0;10.9;7.4;5.0;2.0;2.0;"False."
"ID";"119";"398-1294";"no";"no";"159.100000";415.0;0.0;114.0;27.05;231.3;117.0;19.66;143.2;91.0;6.44;8.8;3.0;2.38;5.0;"True."
"WY";"97";"405-7146";"no";"yes";"133.200000";415.0;24.0;135.0;22.64;217.2;58.0;18.46;70.6;79.0;3.18;11.0;3.0;2.97;1.0;"False."
"IA";"52";"413-4957";"no";"no";"191.900000";408.0;0.0;108.0;32.62;269.8;96.0;22.93;236.8;87.0;10.66;7.8;5.0;2.11;3.0;"False."
"IN";"60";"420-5645";"no";"no";"220.600000";408.0;0.0;57.0;37.5;211.1;115.0;17.94;249.0;129.0;11.21;6.8;3.0;1.84;1.0;"False."
"VA";"10";"349-4396";"no";"no";"186.100000";408.0;0.0;112.0;31.64;190.2;66.0;16.17;282.8;57.0;12.73;11.4;6.0;3.08;2.0;"False."
"UT";"96";"404-3211";"no";"no";"160.200000";415.0;0.0;117.0;27.23;267.5;67.0;22.74;228.5;68.0;10.28;9.3;5.0;2.51;2.0;"False."
"WY";"87";"353-3759";"no";"no";"151.000000";415.0;0.0;83.0;25.67;219.7;116.0;18.67;203.9;127.0;9.18;9.7;3.0;2.62;5.0;"True."
"IN";"81";"363-5947";"no";"no";"175.500000";408.0;0.0;67.0;29.84;249.3;85.0;21.19;270.2;98.0;12.16;10.2;3.0;2.75;1.0;"False."
"CO";"141";"340-5121";"no";"no";"126.900000";415.0;0.0;98.0;21.57;180.0;62.0;15.3;140.8;128.0;6.34;8.0;2.0;2.16;1.0;"False."
"CO";"121";"370-7574";"no";"yes";"198.400000";408.0;30.0;129.0;33.73;75.3;77.0;6.4;181.2;77.0;8.15;5.8;3.0;1.57;3.0;"True."
"WI";"68";"403-9733";"no";"no";"148.800000";415.0;0.0;70.0;25.3;246.5;164.0;20.95;129.8;103.0;5.84;12.1;3.0;3.27;3.0;"False."
"OK";"125";"355-7251";"no";"no";"229.300000";408.0;0.0;103.0;38.98;177.4;126.0;15.08;189.3;95.0;8.52;12.0;8.0;3.24;1.0;"False."
"ID";"174";"359-5893";"no";"no";"192.100000";408.0;0.0;97.0;32.66;169.9;94.0;14.44;166.6;54.0;7.5;11.4;4.0;3.08;1.0;"False."
"CA";"116";"405-3371";"no";"yes";"268.600000";415.0;34.0;83.0;45.66;178.2;142.0;15.15;166.3;106.0;7.48;11.6;3.0;3.13;2.0;"False."
"MN";"74";"344-5117";"no";"yes";"193.700000";510.0;33.0;91.0;32.93;246.1;96.0;20.92;138.0;92.0;6.21;14.6;3.0;3.94;2.0;"False."
"SD";"149";"332-8160";"no";"yes";"180.700000";408.0;28.0;92.0;30.72;187.8;64.0;15.96;265.5;53.0;11.95;12.6;3.0;3.4;3.0;"False."
"NC";"38";"359-4081";"no";"no";"131.200000";408.0;0.0;98.0;22.3;162.9;97.0;13.85;159.0;106.0;7.15;8.2;6.0;2.21;2.0;"False."
"WA";"40";"352-8305";"no";"yes";"148.100000";415.0;41.0;74.0;25.18;169.5;88.0;14.41;214.1;102.0;9.63;6.2;5.0;1.67;2.0;"False."
"WY";"43";"329-9847";"yes";"no";"251.500000";415.0;0.0;105.0;42.76;212.8;104.0;18.09;157.8;67.0;7.1;9.3;4.0;2.51;0.0;"False."
"MN";"113";"365-9011";"yes";"no";"125.200000";408.0;0.0;93.0;21.28;206.4;119.0;17.54;129.3;139.0;5.82;8.3;8.0;2.24;0.0;"False."
"UT";"126";"338-9472";"no";"no";"211.600000";408.0;0.0;70.0;35.97;216.9;80.0;18.44;153.5;60.0;6.91;7.8;1.0;2.11;1.0;"False."
"TX";"150";"374-8042";"no";"no";"178.900000";510.0;0.0;101.0;30.41;169.1;110.0;14.37;148.6;100.0;6.69;13.8;3.0;3.73;4.0;"True."
"NJ";"138";"359-1231";"no";"no";"241.800000";408.0;0.0;93.0;41.11;170.5;83.0;14.49;295.3;104.0;13.29;11.8;7.0;3.19;3.0;"False."
"MN";"162";"413-7170";"no";"yes";"224.900000";510.0;46.0;97.0;38.23;188.2;84.0;16.0;254.6;61.0;11.46;12.1;2.0;3.27;0.0;"False."
"NM";"147";"415-2935";"no";"no";"248.600000";510.0;0.0;83.0;42.26;148.9;85.0;12.66;172.5;109.0;7.76;8.0;4.0;2.16;3.0;"False."
"NV";"90";"399-4246";"no";"no";"203.400000";415.0;0.0;146.0;34.58;226.7;117.0;19.27;152.4;105.0;6.86;7.3;4.0;1.97;1.0;"False."
"HI";"85";"362-5889";"no";"no";"235.800000";415.0;0.0;109.0;40.09;157.2;94.0;13.36;188.2;99.0;8.47;12.0;3.0;3.24;0.0;"False."
"MN";"50";"350-8921";"no";"no";"157.100000";415.0;0.0;90.0;26.71;223.3;72.0;18.98;181.4;111.0;8.16;6.1;2.0;1.65;1.0;"False."
"DC";"82";"374-5353";"no";"no";"300.300000";415.0;0.0;109.0;51.05;181.0;100.0;15.39;270.1;73.0;12.15;11.7;4.0;3.16;0.0;"True."
"NY";"144";"360-1171";"no";"no";"61.600000";408.0;0.0;117.0;10.47;77.1;85.0;6.55;173.0;99.0;7.79;8.2;7.0;2.21;4.0;"True."
"MN";"46";"355-8887";"no";"no";"214.100000";415.0;0.0;72.0;36.4;164.4;104.0;13.97;177.5;113.0;7.99;8.2;3.0;2.21;2.0;"False."
"MD";"70";"333-1967";"no";"no";"170.200000";408.0;0.0;98.0;28.93;155.2;102.0;13.19;228.6;76.0;10.29;15.0;2.0;4.05;1.0;"False."
"WV";"144";"354-4577";"no";"no";"201.100000";415.0;0.0;99.0;34.19;303.5;74.0;25.8;224.0;119.0;10.08;13.2;2.0;3.56;1.0;"False."
"OR";"116";"331-7425";"yes";"no";"215.400000";415.0;0.0;104.0;36.62;204.8;79.0;17.41;278.5;109.0;12.53;12.6;5.0;3.4;3.0;"False."
"CO";"55";"419-2637";"no";"yes";"165.600000";408.0;25.0;123.0;28.15;136.1;95.0;11.57;175.7;90.0;7.91;11.0;2.0;2.97;3.0;"False."
"GA";"70";"411-1530";"no";"yes";"249.500000";415.0;24.0;101.0;42.42;259.7;98.0;22.07;222.7;68.0;10.02;9.8;4.0;2.65;1.0;"False."
"TX";"106";"395-3026";"no";"no";"210.600000";510.0;0.0;96.0;35.8;249.2;85.0;21.18;191.4;88.0;8.61;12.4;1.0;3.35;2.0;"True."
"VT";"128";"388-6441";"no";"yes";"179.300000";510.0;29.0;104.0;30.48;225.9;86.0;19.2;323.0;78.0;14.54;8.6;7.0;2.32;0.0;"False."
"IN";"94";"402-1251";"no";"no";"157.900000";408.0;0.0;105.0;26.84;155.0;101.0;13.18;189.6;84.0;8.53;8.0;5.0;2.16;4.0;"True."
"WV";"111";"412-9997";"no";"no";"214.300000";510.0;0.0;118.0;36.43;208.5;76.0;17.72;182.4;98.0;8.21;12.0;2.0;3.24;1.0;"False."
"KY";"74";"346-7302";"no";"yes";"154.100000";415.0;35.0;104.0;26.2;123.4;84.0;10.49;202.1;57.0;9.09;10.9;9.0;2.94;2.0;"False."
"NJ";"128";"358-9095";"no";"no";"237.900000";415.0;0.0;125.0;40.44;247.6;93.0;21.05;208.9;68.0;9.4;13.9;4.0;3.75;1.0;"True."
"DC";"82";"400-9770";"no";"no";"143.900000";510.0;0.0;61.0;24.46;194.9;105.0;16.57;109.6;94.0;4.93;11.1;2.0;3.0;1.0;"False."
"LA";"155";"334-1275";"no";"no";"203.400000";415.0;0.0;100.0;34.58;190.9;104.0;16.23;196.0;119.0;8.82;8.9;4.0;2.4;0.0;"True."
"AR";"80";"340-4953";"no";"no";"124.300000";415.0;0.0;100.0;21.13;173.0;107.0;14.71;253.2;62.0;11.39;7.9;9.0;2.13;1.0;"False."
"ME";"78";"400-9510";"no";"no";"252.900000";415.0;0.0;93.0;42.99;178.4;112.0;15.16;263.9;105.0;11.88;9.5;7.0;2.57;3.0;"False."
"AZ";"90";"387-6103";"no";"no";"179.100000";415.0;0.0;71.0;30.45;190.6;81.0;16.2;127.7;91.0;5.75;10.6;7.0;2.86;3.0;"False."
"AK";"104";"366-4467";"no";"no";"278.400000";408.0;0.0;106.0;47.33;81.0;113.0;6.89;163.2;137.0;7.34;9.8;5.0;2.65;1.0;"False."
"MT";"73";"370-3450";"no";"no";"160.100000";415.0;0.0;110.0;27.22;213.3;72.0;18.13;174.1;72.0;7.83;13.0;4.0;3.51;0.0;"False."
"AZ";"99";"327-3954";"no";"no";"198.200000";415.0;0.0;87.0;33.69;207.3;76.0;17.62;190.9;113.0;8.59;8.7;3.0;2.35;4.0;"False."
"MS";"120";"355-6291";"no";"no";"212.100000";408.0;0.0;131.0;36.06;209.4;104.0;17.8;167.2;96.0;7.52;5.3;5.0;1.43;1.0;"True."
"ID";"77";"362-9748";"no";"no";"251.800000";415.0;0.0;72.0;42.81;205.7;126.0;17.48;275.2;109.0;12.38;9.8;7.0;2.65;2.0;"True."
"IA";"98";"379-6506";"no";"yes";"161.200000";510.0;21.0;114.0;27.4;252.2;83.0;21.44;160.2;92.0;7.21;4.4;8.0;1.19;4.0;"False."
"MA";"108";"347-7741";"no";"no";"178.300000";415.0;0.0;137.0;30.31;189.0;76.0;16.07;129.1;102.0;5.81;14.6;5.0;3.94;0.0;"False."
"VT";"135";"354-3783";"no";"no";"151.700000";415.0;0.0;82.0;25.79;119.0;105.0;10.12;180.0;100.0;8.1;10.5;6.0;2.84;0.0;"False."
"KY";"95";"401-7594";"no";"no";"135.000000";408.0;0.0;99.0;22.95;183.6;106.0;15.61;245.3;102.0;11.04;12.5;9.0;3.38;1.0;"False."
"IN";"122";"397-4976";"no";"no";"170.500000";408.0;0.0;94.0;28.99;173.7;109.0;14.76;248.6;75.0;11.19;11.3;2.0;3.05;1.0;"False."
"AZ";"95";"334-2577";"no";"no";"238.100000";408.0;0.0;65.0;40.48;187.2;98.0;15.91;190.0;115.0;8.55;11.8;4.0;3.19;4.0;"False."
"MI";"36";"400-3637";"no";"yes";"281.400000";510.0;29.0;102.0;47.84;202.2;76.0;17.19;187.2;113.0;8.42;9.0;6.0;2.43;2.0;"False."
"NM";"93";"383-4361";"no";"yes";"117.900000";510.0;21.0;131.0;20.04;164.5;115.0;13.98;217.0;86.0;9.76;9.8;3.0;2.65;1.0;"False."
"CO";"141";"371-4306";"no";"yes";"148.600000";415.0;32.0;91.0;25.26;131.1;97.0;11.14;219.4;142.0;9.87;10.1;1.0;2.73;1.0;"False."
"UT";"157";"403-4298";"no";"no";"229.800000";408.0;0.0;90.0;39.07;147.9;121.0;12.57;241.4;108.0;10.86;9.6;7.0;2.59;3.0;"False."
"MI";"120";"409-3786";"no";"no";"165.000000";408.0;0.0;100.0;28.05;317.2;83.0;26.96;119.2;86.0;5.36;8.3;8.0;2.24;1.0;"False."
"MA";"103";"337-4697";"no";"no";"185.000000";415.0;0.0;117.0;31.45;223.3;94.0;18.98;222.8;91.0;10.03;12.6;2.0;3.4;2.0;"False."
"AL";"98";"383-1509";"no";"no";"161.000000";408.0;0.0;117.0;27.37;190.9;113.0;16.23;227.7;113.0;10.25;12.1;4.0;3.27;4.0;"False."
"DE";"125";"359-9794";"no";"no";"126.700000";408.0;0.0;108.0;21.54;206.0;90.0;17.51;247.8;114.0;11.15;13.3;7.0;3.59;1.0;"False."
"AZ";"63";"407-7035";"no";"no";"58.900000";415.0;0.0;125.0;10.01;169.6;59.0;14.42;211.4;88.0;9.51;9.4;3.0;2.54;1.0;"False."
"ME";"36";"363-1069";"yes";"yes";"196.800000";510.0;42.0;89.0;33.46;254.9;122.0;21.67;138.3;126.0;6.22;20.0;6.0;5.4;0.0;"True."
"NJ";"64";"391-4652";"no";"no";"162.600000";510.0;0.0;83.0;27.64;152.3;109.0;12.95;57.5;122.0;2.59;14.2;3.0;3.83;1.0;"False."
"NV";"74";"355-6837";"no";"no";"282.500000";415.0;0.0;114.0;48.03;219.9;48.0;18.69;170.0;115.0;7.65;9.4;4.0;2.54;1.0;"True."
"MO";"112";"409-1244";"no";"yes";"113.700000";510.0;36.0;117.0;19.33;157.5;82.0;13.39;177.6;118.0;7.99;10.0;3.0;2.7;2.0;"False."
"ID";"97";"328-3266";"no";"no";"239.800000";408.0;0.0;125.0;40.77;214.8;111.0;18.26;143.3;81.0;6.45;8.7;5.0;2.35;2.0;"False."
"NE";"46";"352-7072";"no";"no";"210.200000";408.0;0.0;92.0;35.73;227.3;77.0;19.32;200.1;116.0;9.0;13.1;7.0;3.54;1.0;"False."
"TX";"41";"370-7550";"no";"yes";"213.800000";408.0;22.0;102.0;36.35;141.8;86.0;12.05;142.2;123.0;6.4;7.2;3.0;1.94;0.0;"False."
"MD";"121";"369-5526";"no";"no";"190.700000";510.0;0.0;103.0;32.42;183.5;117.0;15.6;220.8;103.0;9.94;9.8;4.0;2.65;3.0;"False."
"MS";"193";"329-4391";"no";"no";"170.900000";415.0;0.0;124.0;29.05;132.3;95.0;11.25;112.9;89.0;5.08;11.6;3.0;3.13;1.0;"False."
"NV";"130";"408-4195";"no";"no";"154.200000";510.0;0.0;119.0;26.21;110.2;98.0;9.37;227.4;117.0;10.23;9.2;5.0;2.48;2.0;"False."
"AZ";"85";"354-4445";"no";"no";"201.400000";408.0;0.0;52.0;34.24;229.4;104.0;19.5;252.5;106.0;11.36;12.0;3.0;3.24;1.0;"False."
"MS";"162";"335-4858";"no";"no";"70.700000";415.0;0.0;108.0;12.02;157.5;87.0;13.39;154.8;82.0;6.97;9.1;3.0;2.46;4.0;"True."
